Original_Sequence_Hex,Reconstructed_Sequence_Bytes,Label_True,Label_Pred,Mean_LogProb,Min_LogProb
6e6d626c646f666d616972746861726674646e69717269696e6c6e65706e7064637071686466637074656f6c73 6c656974626261717a72656e70696676706e766d7a616c706165666d6c 40736e617a6e6d61716e6864706273666b6c6f627562 6d6c686668756663666866636e616f7a756669667276646c666465747463727472656e6c716c7063756f64 73656965666561656474696f74617a7174706765706d636f7a64616c616f686e636264637074697072696f646d766f6f68697276767267756f6e,6aadccfma6rthaaf6anaarii6lcebdpdcpdddfcpt  s  leitb6a6zren26fvpmvmzalpaedml @nnazfaqqqddpbsffl6b6b mlhnhff6fff7faozu6ifrvflfdet6cr7ren6qlpc6od siitb6ded7iozzzqtpgppmcohdalaehn2bdcptipridd6v7hhir66gguonaa666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666,1,0,-5.739954,-13.252611
6d646168666c75736268616e7079726b6c74406261706f6462764061616c627a7274657570646273676b6540746e7472667265706e70 727375716f6c6f74726e7a72676963726773706c7072726c696f76707a7a717a7672616f6f766866 736d7740737367706673736470676277636e6472756d7a757676626678617664766c23627270636267737664637570766279672d6c767361706373 6368706e69666d6e6d7a6d7171617276767565757569667364617070737273667569687575686364746c64697664766c70637072 74757665707672236569656b663f706775756465626371717a7a756c69666775646873636975667a6f6f677371,6dahflusbha7pyr6ln@b66yd6v@allbzrteup76sg6e@tntr66ep76ssegqolotrnzggiarg6plprrliovpzzqzvraohhhf snw@ss6pfss7ggbwc7aagvzuvvbfxavdvl#brp7sssv6cupvb6g-vvsapch chpnif6nmzm6aarvvu7u7if6dapp66fv6ifuuhhfal6vvdvlpcpr tuv6pvr#eiek6?pguude6cqqhuul7f6ud6sciuf6o6gsj  6666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666,1,0,-6.1766357,-13.204262
666c766f6d696f7a6861626668626d696164727a6567726f647374686c7469706473766f6d6761746f6568757168706d706872747264 7367747469646861737463616361666f61726c6f70626c6f636e6f636e68636d7a6668737472636465666774657574736461 64667a62677a70656e6c6d71736775747267736d696c7a67676c736562676566766d6e6f7272727569666370706569 6d6567656c766f6274736975706c6f65666e677165726968676c636c6c61677575727175767a69646966766c6f68767367616e6872626d6f766268 6c6e6763716c7062646374666c7361646475696e676f676f726f6f6470736c6975746274717a6d6361637268656763,"66oomio77abfh66iad76egfo76tittidds66mgttohhuqhpmhh7trd6sntt6dh6st7acafoar6opblccnocnh6fffhst
ddeegte6ts6a ffzbg6pezlmq6uutr6smil66glsebg6fvd7orrruifc6eei mggelvoitsi77loe666qerih7lclaaa6urqgvzi6i6v7ohvsganh6b6cbb6ebngcqlpb6c6flaaduuin66g7ooe6ssi7ctbtqzmca6ahegc 6666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666",0,0,-6.2765393,-13.355328
707263766c75656c67696d717a62727a646969747a7064 636866716972656368706f686273617464747174657065766e6c6673656e686f6d75746f6f6c667262 76656d7369697a6872676f76766e757a657562707461756f76766e68766e656f65707265616f646e766976686e6f706769 77696e6a2d706c66616762667669716c6a6e21626e636c6d6f706e68676872746670687569792d756a6f61726f 7569706d726876627162666d62766165617675626e6467677362686e7674706772627a6770646463646e68676e,6ecvlue7gimzzbrzdiitzpd cffqir7hhpohhsaqdtqtepevnl7eenhzmutnol76b vemsiiz67govv6uzeub7ta7ov7nhvn     ccodnvivhnopgi  inj-p6fa6b7viqljn!bnclmopmgghrtfphu6y-jjoa    ipm6hvbqbwvvv7auvubnd7g6hhnv6pgrbz6p7ccdn6gniz666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666,1,0,-6.252746,-12.414327
6f64766373746776706d66636f73736e657268706c6c6f68726f63 7064737175707576736e72736561696774696874707a696e756969636669666c62746273757361706264706c6d7a74676273656c6c 616d7a747165626473617a6f686d6f73686c7561696f747275716c65766d74657a6c666e617a72767a6f6371657270 68693f72756e6c64736d696870706c757374617a726d717070626e6d666a6c 706e7362616f63676d65617a70647565656c7a686e7673706d61766764666265767a64706c7564627670646363626f70747a,6sv7cggvp7ccosnnerh6llohroc pd6qapu6snrseaiatihtiiinuii6illlnsbsaaapbdplm7agbee7  mmztq6bds7ihhoqshlueiotru77fvmtezlf6f6vvzoceef   oorunlds7ia6llustazrmqp66n6fjl pns7aocgme66pd6eelzhnvspmav6dfbev6dpmudbvddccbhptz  6666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666,1,0,-6.1065607,-12.683589
716e6f6273706270717261697070706e776a70636d75 686974646268736d72736e6975616772746873707674766971766e6871686f646d686f 62696165667a766c6776757069737661647a7a686f72646e717a6f756762706d726971736d7671 75736369717a6f6c6d676e726c6c716e6361617575686165746d70736f64616c6666676e63686d6264696564 73666f757272666d6e73767a6c676673686f74646c7061,6ho66p6qqcappppnwj6cmh hiadlioprqni6agrthspvt6iq6aoqhodmho bi6e7zvlgv7aisvadzhhordnqzougbpmriqsmv  ucc7azolm6nrllqncaauu7eetmps6da6f6gnchmbdied sfourrfm6svzlgfsh6tdl7adp6666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666,1,0,-6.0778174,-12.136054
766f6e66656270696f66646273726864616d7374687567637569637069656e7a697a7a 6176626f6873746565666561676e69736e6e666976636e766267667165706f7566717a6962656464707067616874756c64716464707a69 7063666e75657165676c73766670676f7a73616976666d746c667a6c75686c726674617a687a69 7a6c6563636e6767716566696d6d7676757a6c74696c6f657a626e6570646566636c6e7073686965717366 617265706d757174726467636c67617665686471647367727062637a7076,6chfebp7ofdbs3hdamtthugcu7cpiann6  aavfohtteee7agniannf6vc6dbgf6epoufqz7bedd77ghhtuldq6dpzi pff6ueq7g6off6eczsa6v7mtlfzluhlrf7azmzi6zleccnggqhfimmv77zltiloe6bn6pdefcln6shiecsf riipmu7trd7aaga7ehcqdsgrp6c6p7 f6666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666,0,0,-6.62743,-15.9198065
746d6e657562646367627076726f637a746e766e6472626871766461727466657166697274687268626f70666375716561 736d656365666d707a6571736c707171627473767a6d746e656c626f62656666737062627a68707174666f63 70647572727a6172727263727269706d6c7575756d6572677274626f6d6f626e747362686e 7a6e6575636c726c727265756f747a687569746476766c647a67687674737a717062707a6961756f6c6576747663716c626267 72656e7a6f716d676368666e706c6e6f766e756c646773637171766773676566646f716774616f6572696c73697072,6nnelbdcgbpvoozztnvndrbhqvdarff6ifir6h7676pf6uqea seeeefmzzeqslp6qbtsv6mtnelbob6ffs76zzhp6tf6c6pdrrzzarrrcrriilluuume6g6feomobht6bhn zneuclrlrreuozzh1it6vvld7ghz6szqpb6z6auol7vtvcql7b6 renzoqmgchfnplnovn66dgsc66vds7ddfoqgtaoer6lsipr  66666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666,0,0,-6.104,-13.452265
63636c6e646e7061767667717163647366696268686f61676275677a6671676661616168676c706e6e6573747574656666616d 696269756366616d71646e717a656d63627a71616e6e646c65646e667666766c6d7a736c7169706d63766e 6d766c756c6f6f706770636e6763756c7675746e6f7a74716d6d746f706c70657364656c647a626e7666747470 6d61696c63616e6e7465636f697a61686f706d6e75706568687566737362667462616c66746e6771716f616e647a667665616370696c6e62 756c6f6c70616e6376676c6e647170696c756169716c69696f666d6d6971706f666c7165,66lnd6pavvg6ccfsfi6hhfabbugzfqgf7aagglp7ees76eeffa  ib6ucfa6qdnqzemc6zqaaddle6nfvfvlmzllqip76llfcll7loopgccn6c6lv76ooyt6mmt6p6eesdeldz6nvffpp aailcaz66cco7nahopmnup6hhufssbftbal6tlgqqcandzfvaaaill6b6ulolpa6c6gln66eilaa6lfboofm6iq66flqeff66666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666,0,0,-5.854357,-13.388044
6f6c657566616363686168616762746972717a67627472666161716f6e74637264677467 63647173636f6c702379663f7a65746c2175667a62706170706674647967636a656f6d686375776f70677a64657262737074 626d6c71626e646770696d646d6276666c6c6d66726e 707569677567656c6e7a74626d7a686d7461636466637574726c757167697573647a71617070726e7473677a65727070726568676275657163 686265647a6763737263706c6e75656967677667696e6176676e69657a66756e717a716f6c717272,6feuf6cchaha7atirqzg6trfa6qgntcr7gtg6cdqscol1 ynzeesl!ffzbpa7pftdygcjeomhcuwopg6deryept bm6qbn6g7fddmb6fl6ffrna6iig6gel0ztbmzhmtacdfcutrl7qgiusdzqa6rrnt  eererrehgbueqc  aedcgc6rc6nnueiggv6inavgni6ffunqzqgl6rrr 6666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666,1,0,-6.7898064,-12.108947
6264666d6f6e7062656d746273696d7a7361696770647272746675706d6e616373656f7674636f7169626973736769686d 7668616774737a64636e6e736c6f7364686f7a7468766c676c6e7a7a66746974737a6666 7a75667164616c6674626f61757065767a676272726e676d6d73746e6d76657065716c69676d676c7572666169696874676d 766662697a666c6966656e747a667076647572616e76626e70666573717469637275706f7a6d70636f707468657a687a627364 6972657a716f7661736c637074667a72666d6963,66smonbb6ttbs7zzsaigpd7atfupmnasseovfcoqi6is6gihm vfggtszd6nnslosdhozt6vlglnzzf6itszff zuf67alf6boaupevzgrr6agmmstnmv76qqli7mgluriaiihtim vfbizf6ifentzfpddura6v6npfesqt7cr6pozmp7 tthezhzb6d iryffov6f6ootfzffmic6f666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666,0,0,-6.471718,-12.736189
636d7067766876706f6974736371686d70616e69676e6d7265656467647a 686d7272676c6568666171716169667365666e646f61706c7265626d696c 746270757561737471656c6e74726c74666d6c6f756d7261696c666162617467717a7169746d6f68766f6c6975746c68686e6272 6c736c68716973656d6367766c616c72616d736d707a697a6e6676676f756963716968656468667a686f6d6271 64676f6f7274666e69636c73766870687a74727568636f7a707675766d7064617a6e7475746371,6mpgvhvpoizceqhm6anig6mreeddoz hmrrgle6e7euultsefndcaplrfb6i6 twpuuaggqlntrlt7iloumrailfa6at7q6qitmohvoliutlhznb6  qlqqheemigvlalramsmzziz6fvgouc7ihedhfzhomiq   lttff6dllsqhphffugtcqiicmmmpd7zntutcqgg6666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666,0,0,-6.017794,-12.343693
6876717670746561707a686d6e676e6d716e7462676667656472666c6168716c647162706c686667677165737066646575706d74 6e73697368747572726366676866616d6d676f6e63626d6f74686d65687268626d6267696e747561746e6f716f71667370676666 6f617a74716f747071667172766575697669626d64656873676275706f 61727a65706f6c6162756f756c6d6770657161707261696c7a70697466616564626464617573716965667666 706f6f75747674746263747a616774726d65626765626f70666d737a6c72737673737a706e6f696264676665677068686e61746f6864,6fqv6ee67z6mngnmqnt7gfgedrf7ahql7qbpl gggqespfdfupmt ns6shtqfcc6ghfa67oncbmotme6rhbm7gintuatnoqoqffpgff ozztqoopqfqr6euivi6md6hsg6upo arze67labuoulmgp6q6p7alfneiqugedbddausqi6fvf oouutvttb7tzagtrm6bg6bopfm6zlrsv6zznniibdgfegphhnatohne666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666,0,0,-6.2741504,-18.891827
716d66636e7466626e726f6876756763727374746d61617a736f666976636c7a766471647573636f717568746973726e6264 6776627475766e6d7073677170656164766e6367647464757569736f716e73 716168636e677a72726563696f7065726c696d7375 6f7a68747a6369757463726c6271616d716f6968727667636c747a737171757a757676666f7a6c76746f646467706e64747567627a62 73636573616f7571746876646962676661656e6c716e7061666465766e6273647470,6dfcn4ffnoohv6g7rsnmmaa6sofivc7z66uduscoq6hti6r6b  gvbt6anmp6gqpead6ecgdtduuisoqis  hh6eereeecioeerlimsu6ozhzzzrttcrlbqamqoihrv7fl7zzqquzuvvf61lvdoddg6ndtugbzb scesaouqthvdibgfaenaqnpa7de6nbsdtp  6666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666,0,0,-6.091717,-12.353649
756a75617066637a696840617a4063703f74737468727174646e7475617176216575706c6c677563656777656e3f6264757566716175736e6564626d 6975676169707369677a6e7372746c7261706c76756c727665637a74736e707270666870726e7a666d6e74666269756f7067696c73646f7164 62666e677a68726568637675717a747a66676e687a686969706f727372 736564696e726c7a627376617471656f717061627365707168716275766c756563676e71696f66726c6975727a76616d66726f 7a6861756d62657671686f736d74707562626c7064646d61646c71706f717071666468727a61656264756761626d7a6c66686f7269617a6f716764,6j6apfcz6h@az6ap?tsfhrq6dnt7aqv6eup7ggic6g6en?6u6ufaus66db  iugaipsignsrtl7aplv7lrv6czt6np6p66rfnffmntf6iuo6gi6sdoqd6bfng6hrehcvuqz6ffgn6ihizffrsr sedinrdz6ev7t7eoqpabsep7hquuvluec76qi6ffliurzvamrro zhaumbevq6ssntpug6ddd66fdl7poqpqhhrz7bdd6gabmzl6horiazohgd6f6666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666,1,0,-6.6626945,-17.135904
6579756f6d61757867752363667365686f7a616c676e686270676d6566726c7a6d6c7072 6c70696f6c7561736661636961677469696e6365626d69696272616e7173706965637370 676976736670617268666f736762646872657370656d76616f71626d71676d65696164766d637a6e76 766276666765647266766973726867637170656c72746f736276767a61616f6574707a666972706d 62677466777a66747a686d6a687a6d61663f706379657166756c696d67407468716e68676867617176666d767761,6fuomauxgu#cfseho7a6gn6bpgmefrlzmlpr lpioluasfaciagtiinceb7iibaaeespiecsn givsfparhf7abbhhrespeeooebm6g6ef6eemcznv vfff6edr6iisrhgcqpezrtosbvv7oooeeezfirpm bgtf60ftzhmj3emaf?pcy6q6uli6a@thqnhgfg6qvfm6wwcg6666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666,1,0,-6.45195,-16.53832
6e767461697a686968757a6372657a756f66727565737172767a 6c7461737562687267766d696c70746d6f727176647a7369706271717461 6c61746466666d6971707673707366636c66646d747a726963 716e70746664677065666c626e616d6d677572716c746e6d697a6c656d7669726c61 6e756e6972656e7569637076626374746f74637271736d647368736e7a716765756f63686f6c7a6573737073656f,6itaizhihuzcre6u7frue6eevz  aas6bhrgvmilp7mo6qvd6sipb6qtallatd6mm61pvs7sfclfdm6zmicqqqttddffeflbnammg6rqltnm66l6fl  la nnniren66cpd6cttotrrq6dds6nnzqhuuoc7ezz6sspdekcz666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666,0,0,-6.0015597,-18.31315
706f636c6d71707265687a726768706c7461716f7263616974616d7574626266617a62736f6f7a73626c7364647666667564706d716e7a6d 7a6276697465666e726975756e71696d736361766c736f636c7a6d71636c65707572766764706e6868686c75707362637265616361 71767a717a7274717172626275716d63666e727169626171706c6e656d72 6464626961756d7170727a72656761677a6763617366716d6c72617371657a7a72726873737574736672647068767061646662746c63656362716173 61716c766467707a766f71617061676d6766616561727162726e676d747266737a,6cclmqprezzrg6sltaoorc6it6mutb7f6z6soo6sblsdd6f7u67mqnzm6zbhit7f6iiduniimsc66l6dclzmqle6ur7gipnhhh6 ssb6re6ca qlerrr6qrrbbuqmcfn6qiba6p6n6rrdddbiaumqpr6rega77gcssf6m7aasqezzr6hssutsfrd6h7pddfbt6cecbqas aql7dgpzvoqapyrmgfaaar4brngmt6faz6o6666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666,0,0,-6.1611657,-12.959642
75766e6672646d6d7a62666e646d6676617273716675727a6c62667268626167687563767461666d646c736374626362636f7364 686c6764696f6d737465686176726c686c626472747663646d70636d71 6e6c7265736d616168616e64686e7a70747376766361626d636376737167656f73667175717574756575757271 7576726d69707176726c716767717566647561647572697a676264617a6c7064667275626f646c62647563 6e766d7069707a64757169717276756f766668626570687269626268,66nfrdmmzb6ndmfvaaeflurzlbf6hbaghucvtaf6dlsc6bcbcosd hlriiimzeehaaatrahfrtcc6m7ccc  dets7aahgnd6n6ptsvvc6bmcc6sqceosfququ7ueuur6guvr7ipqvq6qggi6fduadur7zgb7azlp6frubodlbd6c nnm6ipzduqiqrvuovfh6ephribb6aa666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666,0,0,-6.5903926,-18.543036
6771696373616767726d687474707076766869726f656d65 6d627a667268636f667469726468666f70687a61667a6474 756d746e706f6f6d74697a6e64736f6162687368706266646f6e6c746969766564626962686d65726f 7a756572666f677367696d7566686775656c646665 6e6c64763f216668676b40747067752168616165676d6e61627a6c,6qicsaeermht6pv6hirdeme btzfrhcof6irdhffphzzzzzt  mtqeo6m6izndhoabashpb6dddltiiiedbibhuero6zuerog7gilufhmueldfe nddv?!fhgkwtpgu!hh76gmnab4lht666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666,1,0,-6.254323,-25.761906
736768757262616e766d727a716f617a686472617a6e637471 6f6c6d7569677672656d6f6f6366757664766c67667071717165687a6c7a646f6672736875766f71696e6c696273696368737675687a73686d 6d6361687a65686968676e6e7562637a6d69746764726675756e717373 6c6d6f6d7472616773706c726376697a75636c6772646e69642d6d646e6661656176697a6c6e6f6d6674626f766271706e4069 6771647372617072616962636c7a756f6e69677a6764636e65687a68706965676d646f7066616c6170626c7164706e7264746e627567716776687276,6 mdezooaedzaoazddraznptq olm6igveemiccfuvddlgipqqqehzlzd6rrhh6voqqnlibsic6svuhzsh  ccahehiwinnu6czmitgdr6uunrss lmoztags7l6c6i6allgrdn6d-mdnf6ea6zzlcomftbovbqp7ai6gqdsrap7aibcl6uo7igz6 srrhihpie6mdopfalae7lqqpnr6tnbugq6fhrv6666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666,1,0,-6.354142,-15.876222
686f6f767075736e6d6d746d646567646c686576667164636e6e6d6466656472 736265616570616e6d6e716766766d716f75706964637a686f64766f6868696565676f7a676e 6675727264726e7466707a6469726d7261646d7a71707672666c636562666e6175756862666d61706f6d 7a70666665657a75657073637a6871666273616f6575647167697668656171636774676e766f7263687a64747475 7061666f656c646562756c697564636e6376676168736466677363707566646f6676727a6672746f6168,6ivv7usnm61ddddrchevfqdcn6mdferr  eedfzsnmnqgfvmqoupidczhodvohhieegoz7   esddr7tfpz4ir6aa6a6qpv6flcebf7auuhbfmapom zefeeezuepscdhqfbsao7udcgiv67aqch76uvcaahedt6u pafoeld6b6liudcncvgassdfgscpuf6ofv7ffrtoah77666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666,0,0,-6.4081135,-13.441749
636e736f646274646870706d646d7a70726472696d636d6d766f6e 66746461706d6e7575657a63716c67626e7164686362657a6e696e626471656864636e71737163727672636e646f676575636d62646463626d7a 7072756973706169766e6e72626f6266727470617175 70736c6768687a696c7165757a7a6765656c64726365746671636d73656d616c666e616f7272726c73 71616171696c76727a687571716d7a6361766d66626f66616e68617675617474666c76697a7475656d6e747564747a676464756370667a636d6369,6msodbtdhp6mdmz6rdriccmmvon faaapm66eezcqlginqdhcbezninbdqehdcnqsqcrvr6ndogeufmbddcbmz  uuiwaaqaesbbob7dtpqqu76lqghczilqeuzzg6eldrcet7qcms3mal6aoorrrls6qdqqi6vrz6uqgm6zavmfbofanhavuattflviz6ue7fazzgzgdduc7czcmc6fa66666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666,0,0,-6.1393924,-12.655175
6c67666964706d67626d767a6f62736265626c6e6673646d656d6e6e61716e76 68627a637270726d76647176696171626f766d6463647067676f68706d65707076617271747572696173757a66646869 6862657470716164656968706961746c666f68636f 676964766c73756d73716f63676f7175627a6e706767736d756274646568657072657068 6d3f73666240406c65647a696a786d746174697a627a6167706c69716874756968656e6362716d726f686e6d6765,6suidpm6b7vzobs3eblnf6dmemnnaqnv hqccrprm6dqviaq8o7mdccdgghhp6eppvaqqturiazfbf6hiah7ct6qad7ifpiatl6oico gidvlsumsqicg6qubznpglsmub6de6e6eeepvaedfbwlled76jxm6atzz6za7pliahtuihncbqmr6hnmge6666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666,1,0,-6.450085,-15.710384
7a766668766862666e7664616f6d6370696f6e6370737a64756f646c6775716c7261737a647065667468677371716c65736770736765627a 73696872716566617169696d62766462676d7a6861656f717174666964 6874687376707a74616973626f6d736367626d6f69646762687464726170766270627a7371647261756368736d737a71747571 6f63726d6866627a7363617a67716862656e686c6974676e676e716e6c706572 716d6e6e626163716d6e686e63666c716e61626c636c6c6e6e7a6c6462686f7065647a69697a76716f63636363657a71636e6167,6vfhvhbfn6oooccpi6ncpsz66odlguq6aaszdp6fthgsqql7sgpsgeb  sihrqefaqiim6v7ggm7ha7odttfid6hthvvpzaaiacg7scg7moidgb7tdaapvbp6esqdr6uchsm7zqtuq  cciffbzscaz6qh4e6hlitgngnqnlp6h qcnbbacqmnhnc66nnbb6lllnllldbhopmd7iiz86occccezqcn6g  6666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666,0,0,-6.3030825,-18.200836
70726c727676626e68616c6e6164766e726671736168746961686f69747a6e64 686965687674696e69736d676d757a716f7272656e697264626c716f6c766775676e7268636c647467646367766e727562626f6e65 6f6e7a76757266747276756667686c746f6876726d6f666e74627a68746f75656f666e7a737364677370626f7a 7a76707a6766617a7a627a70636c64656c706561736168 6567646c706d616869766574736d6f766265706c706d75696e72617a6c6c6775737a7170636468706866616673767576696565656d6776,6ml7vvbnhannad6nr6as76oiaho6tznd hiehntinssmgmu6qorr6iir6b6qolfgngnr6cldtgdcgvnrub6nne onzvurf66vufghlto76rmff7tzzhtoueof6zssdfspboz  vpfgfazzbzp6ld7lpeasah egdlpmahivezs6ovbep7pmuirr7zllgusz6pc66ffaafsv6vieeemf   6666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666,0,0,-6.034397,-11.86621
6161656f6572726669686c6d6373697a72696871636d72 6d676469737670687466727a6e61697569626d6466716470707265716f7a736772 63687174717369636f6473677167647a6e66667270626563 687071666c6d687475756f7371677173646461697168707176687267706c7a676d61756c75717376746767686c626d6c67757a6676697363616270 6c667668766367726c6d6c726c7a627673647a636c6c74737167667563707370677a716273,6ooorrrfihlm7iiari66fhiffgfisv6htor6naguimmdf7ff6reeozsgr chqfqsicodsgqgd6nf6rpbec hpqflmhtuusqgqsddaiqhpqvhrgil6gmauu7egggghlbm6g6ff6iaaab6seghhvcgrlmlrl7b6s7zc666 ggfu6ps6gzqbs  666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666,0,0,-5.6946716,-12.359957
68737161736c63647264736e6665647065697565687464756267726f716d6c6773717475617271626c6d656669626168666967717063767a 737a6e69707866686f406268796d676a616b62616773717a6965657a74697265676f6f4065656e6663626170616e69 747a706c6f716d74697668737170726765736c6c6176636c69766c6472756662656962666c737469766365666364656c6666676f 62686d73626d666d766373657470627475686474646963627570757a626c69726e7a64737170767a6e6565 7a757a707576696874616769646675646d6c61636c6974756c716366666f687065656e64616d76757061767473636263617362,6tqasl6d7ennfe6peiuehtdub77oqmlg66aua6q6eee6ib6hfigqlavdsez66p6fho6bhymgjakbagsfzieez6irego7fe66ccbap6p1 tzp6oqmtiahsq6gggsllavc7ivlrrudbeib6lstivcefcdelffgo bfssbm6mv7s7dpbtuh6edbbbhpudblirnzdsqpvzree zu6p6vihtag647udm6icli6ul7cff7hpdend6mv7pavt6cbasbma66666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666,1,0,-6.1637373,-15.342772
71686d66646f6c756f67627a62646e6c716f716366696173647576706e676c706769746c6676676962 696f69756865766767646f6267686d6f6f7068637a73 666e6e726e637274626772656f6e68676873686f646870677173656c64746374647a6667677a6e627076677a707069616d6f76766d 69666573687271766d74716c74647a61696771747362636274746374736173676873736568676d61647a6d67 7a6e74726873717466766c757669726c6967706c707562626e7375716f6f6362676f636274717a766163686674736872,6cmf6lluog6z6dn66oqcfiasd6vpnglpgit6fvg6b77o6uhev6gdobghu7pphczs6fnnrncrtbgr7onhghs7ddhpgqse6dtctlzf66zn6pv6zppia7ovv  ifeshr6vmtqltdzaigqt7bcbttctsasg6ssehgm6zzmg zntr6sqtfvluvirligp7uu666suqoo66cccctczvacc6nsh66s6666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666,0,0,-6.641988,-13.532189
